* These two reactions were added to the model
METt2rpp	1.0 met_L_p + 1.0 h_p <==> 1.0 met_L_c + 1.0 h_c	(rxn manually added to the model)	
GLNt2rpp	1.0 gln_L_p + 1.0 h_p <==> 1.0 gln_L_c + 1.0 h_c	(rxn manually added to the model)	

2AGPGAT180	1.0 2agpg180_c + 1.0 ocdca_c + 1.0 atp_c --> 1.0 pg180_c + 1.0 amp_c + 1.0 ppi_c	b2836
2AGPGAT181	1.0 2agpg181_c + 1.0 atp_c + 1.0 ocdcea_c --> 1.0 pg181_c + 1.0 amp_c + 1.0 ppi_c	b2836
2DGULRGx	1.0 2dhguln_c + 1.0 nadh_c + 1.0 h_c --> 1.0 glcn_c + 1.0 nad_c	b3553
2DGULRGy	1.0 2dhguln_c + 1.0 nadph_c + 1.0 h_c --> 1.0 nadp_c + 1.0 glcn_c	b3553
2DGULRx	1.0 2dhguln_c + 1.0 nadh_c + 1.0 h_c --> 1.0 idon_L_c + 1.0 nad_c	b3553
2DGULRy	1.0 2dhguln_c + 1.0 nadph_c + 1.0 h_c --> 1.0 idon_L_c + 1.0 nadp_c	b3553
2MAHMP	1.0 2mahmp_c + 1.0 h2o_c --> 1.0 h_c + 1.0 4ampm_c + 1.0 pi_c	(b0446 or b1134)
34dhpactex	1.0 34dhpac_e <==> 1.0 34dhpac_p	(b0241 or b0929 or b1377 or b2215)
3AMACHYD	1.0 h_c + 1.0 3amac_c + 1.0 h2o_c --> 1.0 msa_c + 1.0 nh4_c	b1009
3AMPtex	1.0 3amp_e <==> 1.0 3amp_p	(b0241 or b0929 or b1377 or b2215)
3CMPtex	1.0 3cmp_e <==> 1.0 3cmp_p	(b0241 or b0929 or b1377 or b2215)
3GMPtex	1.0 3gmp_e <==> 1.0 3gmp_p	(b0929 or b1377 or b2215 or b0241)
3HAD100	1.0 3hdecACP_c --> 1.0 h2o_c + 1.0 tdec2eACP_c	(b0954 or b0180)
3HAD120	1.0 3hddecACP_c --> 1.0 h2o_c + 1.0 tddec2eACP_c	(b0180 or b0954)
3HAD121	1.0 3hcddec5eACP_c --> 1.0 h2o_c + 1.0 t3c5ddeceACP_c	(b0180 or b0954)
3HAD140	1.0 3hmrsACP_c --> 1.0 h2o_c + 1.0 tmrs2eACP_c	(b0954 or b0180)
3HAD141	1.0 3hcmrs7eACP_c --> 1.0 h2o_c + 1.0 t3c7mrseACP_c	(b0954 or b0180)
3HAD160	1.0 3hpalmACP_c --> 1.0 h2o_c + 1.0 tpalm2eACP_c	(b0954 or b0180)
3HAD161	1.0 3hcpalm9eACP_c --> 1.0 h2o_c + 1.0 t3c9palmeACP_c	(b0180 or b0954)
3HAD180	1.0 3hoctaACP_c --> 1.0 h2o_c + 1.0 toctd2eACP_c	(b0954 or b0180)
3HAD181	1.0 3hcvac11eACP_c --> 1.0 h2o_c + 1.0 t3c11vaceACP_c	(b0954 or b0180)
3HAD40	1.0 3haACP_c --> 1.0 h2o_c + 1.0 but2eACP_c	(b0954 or b0180)
3HAD60	1.0 3hhexACP_c --> 1.0 h2o_c + 1.0 thex2eACP_c	(b0954 or b0180)
3HAD80	1.0 3hoctACP_c --> 1.0 h2o_c + 1.0 toct2eACP_c	(b0954 or b0180)
3HCINNMH	1.0 3hcinnm_c + 1.0 o2_c + 1.0 nadh_c + 1.0 h_c --> 1.0 dhcinnm_c + 1.0 nad_c + 1.0 h2o_c	b0347
3HPPPNH	1.0 h_c + 1.0 o2_c + 1.0 3hpppn_c + 1.0 nadh_c --> 1.0 dhpppn_c + 1.0 nad_c + 1.0 h2o_c	b0347
3HPPtex	1.0 3hpp_e <==> 1.0 3hpp_p	(b1377 or b0929 or b2215 or b0241)
3HPPtpp	1.0 3hpp_c + 1.0 h_c --> 1.0 3hpp_p + 1.0 h_p	
3KGK	1.0 3dhguln_c + 1.0 atp_c --> 1.0 3dhgulnp_c + 1.0 adp_c + 1.0 h_c	b3580
3NTD2pp	1.0 h2o_p + 1.0 3ump_p --> 1.0 pi_p + 1.0 uri_p	b4213
3NTD4pp	1.0 3cmp_p + 1.0 h2o_p --> 1.0 cytd_p + 1.0 pi_p	b4213
3NTD7pp	1.0 3amp_p + 1.0 h2o_p --> 1.0 pi_p + 1.0 adn_p	b4213
3NTD9pp	1.0 h2o_p + 1.0 3gmp_p --> 1.0 gsn_p + 1.0 pi_p	b4213
3OAR100	1.0 3odecACP_c + 1.0 nadph_c + 1.0 h_c <==> 1.0 nadp_c + 1.0 3hdecACP_c	b1093
3OAR120	1.0 3oddecACP_c + 1.0 nadph_c + 1.0 h_c <==> 1.0 3hddecACP_c + 1.0 nadp_c	b1093
3OAR121	1.0 3ocddec5eACP_c + 1.0 nadph_c + 1.0 h_c --> 1.0 nadp_c + 1.0 3hcddec5eACP_c	b1093
3OAR140	1.0 h_c + 1.0 3omrsACP_c + 1.0 nadph_c <==> 1.0 3hmrsACP_c + 1.0 nadp_c	b1093
3OAR141	1.0 3ocmrs7eACP_c + 1.0 nadph_c + 1.0 h_c --> 1.0 nadp_c + 1.0 3hcmrs7eACP_c	b1093
